LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ¦Ã rate
,,,,,,,,,(frame),(frame),(frame),(?m),(?m),(?m),(?m),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(quality),(?m),(?m),,(?m/frame),,(rad/frame)
Track_5576,200,200,39,1,0,0,0,1,39.0,0.0,39.0,59.22128671974488,157.45826714260758,111.56216526442793,0.0,3.254596067985488,8.887761542807453,0.9714676852535693,3.1225115900933385,1.5550229404927371,20.422091704148514,127.88448539156082,59.22128671974488,0.4630842164975622,1.5184945312755098,0.46656927605010573,1.2957079685193282
Track_5580,204,204,35,1,0,0,0,1,35.0,0.0,35.0,70.15179540476142,391.893428295337,111.28595711746654,0.0,2.8348608895902982,6.748942554593244,0.4742509671520929,2.9520088756332443,1.3946963814551236,14.99422881262643,100.32290767766571,70.15179540476142,0.6992599898535327,2.004337011564612,0.7070318755056387,0.99986016700908
Track_5585,209,209,24,2,0,0,0,1,25.0,0.0,25.0,39.46606448380958,157.71730070251263,112.41443610916797,0.0,2.822384727666969,5.598752886807131,0.7891170151770234,2.745606021580786,1.098652375295978,20.41897527376811,68.99233530893333,39.924473620584024,0.5720354921613937,1.5786425793523833,0.5593293373073613,0.9881312346182273
Track_5588,212,212,26,1,0,0,0,1,26.0,1.0,27.0,58.69913856613364,217.99730459302674,118.30303055122552,0.0,3.432236003631978,5.714533835254799,0.6456574917003557,3.0748609322783063,1.3007457403527025,23.50230521422166,88.59189930717245,58.69913856613364,0.6625790735404329,2.2576591756205246,0.6577808674087327,1.1449421788452767
Track_5589,213,213,38,2,0,0,0,1,39.0,2.0,41.0,84.21749136965843,185.41292044067004,119.78584126254334,0.0,3.4977029748249926,7.338792213783102,0.9626006628350944,3.680977686558917,1.8203698132928283,15.27161455154419,136.03951088443003,84.21749136965843,0.6190664081496435,2.1594228556322674,0.6173831429297721,1.277419962425047
Track_5599,223,223,25,0,0,0,0,0,24.0,0.0,24.0,35.51800217037419,98.56006888064542,127.93767298389626,0.0,3.495960981285134,6.884673362019621,1.1464361802285354,3.5996077168354526,1.539015122118796,13.83198751449585,83.90306355084324,39.46471855108564,0.42332187487827705,1.4799167570989245,0.4233218748782771,1.2548337120669353
Track_5601,225,225,31,1,0,0,0,1,31.0,2.0,33.0,48.331932893729814,312.0975839075004,126.76014847469054,0.0,2.6868536808329475,5.91662723504947,0.5572113949872862,2.470191245868979,1.5012280424553301,15.979949505098405,82.30074729961568,48.48132801193663,0.5872599518176612,1.5590946094751552,0.5802677758737582,1.3530274917547964
Track_5612,236,236,23,0,0,0,0,0,22.0,0.0,22.0,51.6571735590897,130.53800768649927,126.99879931685835,0.0,3.1788651436642636,5.409369321931045,1.1348205497764912,3.2977537428178434,1.2295854103942103,22.728624758513078,69.93503316061381,51.6571735590897,0.7386451571482505,2.3480533435949864,0.7386451571482506,0.7581668251974578
Track_5614,238,238,29,1,0,0,0,1,29.0,0.0,29.0,47.32524310816311,102.90381617074607,126.74205969821607,0.0,3.3743053842696313,5.844407149463184,0.4067613423240474,3.5171599833786953,1.2083956274507817,15.632954844113055,97.02594549713156,49.21409339890778,0.48775863884327947,1.6319049347642451,0.48362692433585736,1.0441794491128518
Track_5615,239,239,22,0,0,0,0,0,21.0,1.0,22.0,30.149353808126364,237.56319685308307,130.2752380377753,0.0,3.56016974248229,7.753448661919628,1.397691921333646,3.5063034366379067,1.5174375628106844,18.98040049726313,74.76356459212809,30.149353808126364,0.40326265838989717,1.435683514672684,0.4032626583898972,1.5992141434981562
Track_5622,246,246,78,0,0,0,0,0,77.0,0.0,77.0,103.65908958437345,378.76101888848007,158.76194223289374,0.0,2.577445302648385,8.267903913827649,0.3016071652834237,2.3215808297732905,1.4652170760025962,22.012504192499016,198.46328830392568,107.1494604719394,0.5223086368781235,1.3462219426542006,0.5223086368781236,1.3932889427322401
Track_5627,251,251,21,0,0,0,0,0,20.0,0.0,20.0,31.421602450236037,27.540057036627537,139.0255633182835,0.0,3.3709216721124875,6.608172753796761,1.3495674863001899,3.1000507346622337,1.4742513143122196,12.633818830762591,67.41843344224975,34.29240672964522,0.46606841550466466,1.5710801225118018,0.46606841550466466,1.1227692686806905
Track_5628,252,252,24,0,0,0,0,0,23.0,0.0,23.0,40.87069727092702,152.3185898705128,135.23688330103263,0.0,2.6120150053418265,4.103297630781074,0.15023805755711772,3.047305398292156,1.2055652255335167,15.77312856912613,60.07634512286202,40.87069727092702,0.6803126453072741,1.776986837866392,0.6803126453072742,1.4076698696365584
Track_5630,254,254,29,1,0,0,0,1,29.0,3.0,32.0,47.736939976183294,306.16516730118866,136.84037691442435,0.0,2.895898487369995,5.809073738174561,0.13770526392870452,2.8018703678687746,1.4268217954374933,13.514982091969458,81.52722267952052,47.736939976183294,0.5855337445240204,1.646101378489079,0.568425096966724,1.3795087587600237
Track_5631,255,255,29,1,0,0,0,1,29.0,0.0,29.0,38.346329795613265,193.39081070490118,137.3587391516693,0.0,2.6265603955600154,5.497305332931755,0.5317671853934812,2.7891856142939404,1.2658058654226756,21.888235042835102,78.14929355116418,38.346329795613265,0.49068044064285754,1.322287234331492,0.5034292135702304,1.2498064462294043
Track_5632,256,256,25,2,0,0,0,1,26.0,0.0,26.0,50.72994114280904,218.45019645958263,130.9982639771522,0.0,3.2027183425333408,5.112646893981391,0.12453327362833808,3.677418920760397,1.3031783020469927,20.871956176757813,85.35883618175305,50.72994114280904,0.5943138802266549,1.9511515824157324,0.6092173503063579,1.109578206442179
Track_5635,259,259,22,0,0,0,0,0,21.0,0.0,21.0,55.14437872295581,98.03613795857618,144.40555222565882,0.0,3.719779585864471,9.320301637615502,1.1224075492506733,3.665114095216854,1.7048044563765214,22.21441149711609,78.11537130315388,55.14437872295581,0.7059350522568582,2.625922796331229,0.705935052256858,1.023048251280603
Track_5638,262,262,28,1,0,0,0,1,28.0,0.0,28.0,43.65213004030563,150.44797329495321,134.1913623402691,0.0,3.297862711121608,9.696983892669387,0.03847344086798129,3.559347035627727,1.9134837674228493,18.13010856083461,90.6718481231059,47.17756993688069,0.48142980367002974,1.5590046442966297,0.47273182083629245,1.321994388818789
Track_5642,266,266,33,2,0,0,0,1,34.0,0.0,34.0,32.748009685425686,197.64965958523015,141.5200718762475,0.0,2.279320108654025,4.54225821944949,0.4240210052160267,2.229112485668524,1.070326875744978,16.491490999857586,75.99323538699348,32.92049689074887,0.43093322081442303,0.9631767554536966,0.4225719554689788,1.1987091095878717
Track_5643,267,267,23,0,0,0,0,0,22.0,0.0,22.0,44.70687098945145,282.4825890674643,144.2017921979673,0.0,3.5553657520139077,5.733403070090261,0.5743603559746182,3.6452696920699945,1.4717359223618762,15.945253911225691,78.21804654430595,47.78371793148164,0.5715672145318488,2.0321304995205205,0.5715672145318487,1.037691352004906
Track_5645,269,269,45,2,0,0,0,1,46.0,0.0,46.0,91.31643255929413,158.6249023224969,141.8957600572506,0.0,3.2283066086222276,9.165620225181144,0.774870603219027,3.20718485952507,1.6031261228094251,18.097097301483153,148.27658255525023,91.31643255929413,0.6158520178010453,1.9851398382455245,0.6149167594377722,1.180194570991775
Track_5657,281,281,27,0,0,0,0,0,26.0,3.0,29.0,35.200762573321214,159.310637440034,160.1331785421197,0.0,3.6572522146816873,6.627712916649691,1.0293384996687835,3.9700639144822127,1.487712718899242,13.666475684554488,95.08855758172388,35.200762573321214,0.3701892579774166,1.3538754835892775,0.37018925797741664,1.265790480107847
Track_5662,286,286,26,0,0,0,0,0,25.0,3.0,28.0,45.67216520505868,378.29684807834434,152.32106866502946,0.0,2.599507438064486,4.548702337488011,0.502023652731789,2.6277874400215517,1.0555429355185026,17.18438937113835,64.98768595161216,46.88655592028216,0.7027818353013027,1.8268866082023474,0.7027818353013029,1.1152578353973708
Track_5664,288,288,21,0,0,0,0,0,20.0,0.0,20.0,32.785151723189266,197.24512715593335,155.53947022668703,0.0,2.70918809779618,4.17426681178268,0.7190027674337642,3.061002772203927,1.0154530906635344,13.306026277087984,54.1837619559236,33.53061586803438,0.6050733751166765,1.6392575861594634,0.6050733751166765,1.3488860133768161
Track_5674,298,298,42,0,0,0,0,0,41.0,0.0,41.0,51.74516240783844,58.39867650380858,168.09524572218083,0.0,2.3094091456554895,6.576377873170529,0.3834315113433712,2.3257081559165127,1.3080146813283366,19.67510540144784,94.6857749718751,54.78828585764819,0.5464935194669792,1.2620771318984987,0.5464935194669794,1.0792682853244027
Track_5681,305,305,27,1,0,0,0,1,27.0,0.0,27.0,72.10711239807121,123.39433953049785,162.10461459414884,0.0,4.072248171293793,7.692518035243326,0.745432033944243,4.49475890058321,1.8735993372679582,9.269072691599527,110.44280512806657,72.10711239807121,0.6528909901777459,2.670633792521156,0.6558131234110591,1.2082670395772168
Track_5684,308,308,23,2,0,0,0,1,24.0,3.0,27.0,33.907939648609236,234.46334555198035,157.24002451186433,0.0,2.6973398460883407,4.449871594430596,0.6420327077408506,3.0294077229660425,1.0239858842154264,20.875536980836287,66.80511534892464,33.907939648609236,0.5075650191083017,1.4128308186920515,0.5237867303747159,1.3158549555505854
