LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID115007,115007,7099,7.784818172,64.0169805,45.47491835,0,116,116,1.25,1,,26.94594595,10,5,215,997,45.21857162,0.550778803,0.423286046
ID114319,114319,7099,52.41773987,63.07733841,48.33787621,0,117,117,1.25,1,,97.27027027,64,5,255,3599,92.79417147,0.731502456,0.885690724
ID115695,115695,7099,56.4168396,64.18635795,47.18761329,0,118,118,1.25,1,,91.75675676,55,5,255,3395,92.87249485,0.809545195,0.884000688
ID117054,117054,7099,49.91447449,64.73172532,48.86269192,0,119,119,1.25,1,,91.64864865,45,5,255,3391,90.92311044,0.4940398,0.666624924
ID116375,116375,7101,35.64271164,43.36535453,46.33940301,0,115,115,1.25,1,,79.64864865,67,12,203,2947,54.26489361,0.67305433,1.180944614
ID115014,115014,7101,61.27853012,41.0114185,46.28042494,0,116,116,1.25,1,,100.4594595,60,5,255,3717,88.286338,0.750557084,0.975741509
ID112285,112285,7101,17.77710724,43.48069662,47.86364012,0,113,113,1.25,1,,49.67567568,38,5,151,1838,35.16394465,0.530013874,0.978741628
ID113644,113644,7101,29.1703186,42.21035589,46.11153258,0,114,114,1.25,1,,71.78378378,53,10,233,2656,58.22949574,0.650088013,0.971355854
ID114287,114287,7101,13.88248158,43.39484853,43.53794255,0,117,117,1.25,1,,36.64864865,27,5,92,1356,27.53807084,0.40280565,0.764280001
ID152195,152195,7106,18.11432076,294.5003771,58.1380274,0,170,170,1.25,1,,70.54054054,57,15,179,2610,41.66706306,0.450238722,1.051185195
ID161798,161798,7106,19.27371407,294.2966983,58.36821224,0,185,185,1.25,1,,68.13513514,53,5,208,2521,50.88831025,0.435740049,0.812708403
ID163078,163078,7106,12.02069283,294.5641059,58.4962401,0,186,186,1.25,1,,45.54054054,41,5,153,1685,34.27875483,0.374928224,0.724554814
ID133383,133383,7106,25.45738792,294.8790128,57.74843898,0,144,144,1.25,1,,83.43243243,76,10,219,3087,46.23102646,0.475748783,1.16358099
ID138116,138116,7106,29.02775764,294.7715698,57.81732869,0,151,151,1.25,1,,87.10810811,83,24,179,3223,40.19313359,0.507921174,1.460005154
ID160516,160516,7106,20.82700157,294.9866907,58.33322937,0,184,184,1.25,1,,66.72972973,64,5,207,2469,43.96883281,0.453160252,0.946548179
ID110214,110214,7106,31.0582695,294.4039869,58.14972959,0,111,111,1.25,1,,91,99,12,205,3367,48.38101097,0.515146843,1.279006544
ID122505,122505,7106,23.55211639,294.8050387,57.58820976,0,127,127,1.25,1,,85.75675676,81,5,182,3173,47.42796023,0.47777095,1.169166899
ID128009,128009,7106,25.00819206,294.8220232,58.17784497,0,133,133,1.25,1,,72.94594595,57,5,175,2699,48.71227654,0.446707348,0.924772994
ID146186,146186,7106,28.79550934,294.3106141,58.16671696,0,162,162,1.25,1,,76.62162162,71,5,189,2835,47.55426804,0.531987711,1.119020782
ID152842,152842,7106,18.99314308,294.7447581,58.55058631,0,172,172,1.25,1,,55.94594595,55,5,120,2070,35.42123182,0.404637515,0.909990458
ID125962,125962,7106,25.19122887,294.845589,57.93505171,0,135,135,1.25,1,,79.75675676,80,10,205,2951,45.42784597,0.470455521,1.123419644
ID161161,161161,7106,10.69962883,293.7441845,58.09932636,0,187,187,1.25,1,,42,41,5,116,1554,29.57945984,0.241039672,0.551558916
ID159884,159884,7106,18.80654716,294.1180652,58.25012964,0,183,183,1.25,1,,58.67567568,57,5,149,2171,36.72499456,0.377606867,0.875872599
ID143507,143507,7106,18.60472298,294.6374373,57.99532488,0,155,155,1.25,1,,67.59459459,71,5,200,2501,42.10203179,0.419969404,0.949680616
ID148881,148881,7106,26.41641045,294.4669986,58.20995894,0,168,168,1.25,1,,75.67567568,73,5,247,2800,51.2635099,0.518015135,1.007498277
ID159254,159254,7106,19.98155975,294.9659037,58.13993325,0,182,182,1.25,1,,70.2972973,67,5,163,2601,39.72814904,0.448169734,1.095199784
ID124564,124564,7106,27.00489235,294.6646946,58.23108436,0,131,131,1.25,1,,85.62162162,83,5,255,3168,59.80772495,0.513921553,0.971962751
ID157975,157975,7106,10.70608044,294.3801078,58.83784669,0,180,180,1.25,1,,40.18918919,38,5,127,1487,29.22312425,0.252752653,0.554936112
ID118425,118425,7106,22.9328537,294.6823295,57.86390043,0,121,121,1.25,1,,85.18918919,88,12,255,3152,44.63297102,0.502426322,1.276550158
ID155418,155418,7106,49.06593323,295.0613794,57.37080155,0,177,177,1.25,1,,112.3513514,94,19,255,4157,73.4443161,0.524466003,1.052566885
ID113688,113688,7106,26.58148003,294.6396801,57.83939904,0,114,114,1.25,1,,92.7027027,80,22,254,3430,55.97859951,0.527612827,1.143937801
ID115739,115739,7106,31.85946655,294.8947,57.84024502,0,118,118,1.25,1,,91.78378378,78,5,254,3396,56.22333202,0.516547857,1.112074334
ID120475,120475,7106,30.98514175,294.5342994,57.98637569,0,123,123,1.25,1,,91.43243243,76,10,255,3383,56.67134321,0.557437775,1.154921469
ID138777,138777,7106,27.83965492,295.1181104,58.08701703,0,150,150,1.25,1,,71.18918919,60,15,195,2634,49.49738368,0.491099696,0.947381243
ID158622,158622,7106,17.51873398,294.8138033,58.40500231,0,181,181,1.25,1,,54.21621622,55,5,151,2006,33.82974951,0.391588089,0.9019432
ID135455,135455,7106,18.81039047,294.7240801,58.22215098,0,146,146,1.25,1,,63.51351351,59,5,170,2350,44.08679673,0.416444824,0.847120898
ID141468,141468,7106,21.70779228,294.8115265,57.95727619,0,157,157,1.25,1,,66.89189189,66,19,134,2475,36.00831986,0.401376736,1.064137898
ID154780,154780,7106,15.80099201,294.5615033,58.62333192,0,175,175,1.25,1,,53.94594595,45,5,153,1996,43.83044727,0.305851459,0.576540318
ID123169,123169,7106,27.43124008,294.279317,58.33790517,0,128,128,1.25,1,,79.40540541,64,5,205,2938,55.81092061,0.490561384,0.936492642
ID156067,156067,7106,17.23648643,294.5027384,58.20101208,0,178,178,1.25,1,,67.05405405,62,5,161,2481,39.58952299,0.347213668,0.873041924
ID130722,130722,7106,20.56896591,294.0176336,58.44473254,0,137,137,1.25,1,,61.16216216,53,5,255,2263,48.24101155,0.417109989,0.746351571
ID157348,157348,7106,26.24935722,294.6558068,58.12983787,0,179,179,1.25,1,,81.62162162,81,6,255,3020,53.81209661,0.506714525,1.020205546
ID126635,126635,7106,20.70105362,294.6549581,57.91350118,0,134,134,1.25,1,,81.02702703,74,6,221,2998,49.79819636,0.510612836,1.099980141
ID149550,149550,7106,18.23169518,294.3709186,58.32638712,0,166,166,1.25,1,,60.16216216,62,5,175,2226,36.44593676,0.324332141,0.808532318
ID156717,156717,7106,26.55404282,294.634351,58.06584187,0,176,176,1.25,1,,82.59459459,80,6,215,3056,44.10496285,0.45657393,1.174012547
ID139440,139440,7106,29.5466938,294.6288551,58.32772843,0,152,152,1.25,1,,81.2972973,76,5,233,3008,52.22646459,0.478368108,1.00738414
ID144176,144176,7106,31.44781685,294.7167275,58.15911125,0,158,158,1.25,1,,90.16216216,80,19,224,3336,58.52137003,0.499057597,1.025822405
ID146864,146864,7106,21.41827583,294.3555597,58.05807483,0,163,163,1.25,1,,87.43243243,80,13,208,3235,46.23823607,0.473844512,1.215865358
ID128692,128692,7106,21.91269493,294.5411792,58.42736363,0,138,138,1.25,1,,65.48648649,55,5,168,2423,44.07482377,0.461187113,0.937912731
ID136116,136116,7106,28.81163025,294.7976099,58.32343929,0,149,149,1.25,1,,79.67567568,64,5,205,2948,49.62025463,0.500565568,1.071279411
ID114358,114358,7106,30.31400681,294.7110519,58.2111048,0,117,117,1.25,1,,79.94594595,71,5,255,2958,58.47979041,0.51328358,0.927379914
ID112317,112317,7106,24.00151253,294.6984886,57.62938041,0,113,113,1.25,1,,96.27027027,87,24,207,3562,44.9954619,0.484550405,1.396681836
ID119101,119101,7106,38.32469559,294.5140958,57.85113234,0,122,122,1.25,1,,110.5675676,102,22,255,4091,55.45445606,0.549882135,1.41479084
ID136766,136766,7106,21.63067245,294.8741301,57.77110094,0,147,147,1.25,1,,74.40540541,69,5,156,2753,43.1350975,0.439874475,1.05392044
ID134079,134079,7106,23.36768532,294.4928255,58.20841214,0,143,143,1.25,1,,72.64864865,67,5,186,2688,45.34204341,0.455256371,1.00247366
ID110915,110915,7106,11.83696079,290.066173,57.3930077,0,110,110,1.25,1,,30.51351351,5,5,219,1129,48.41178783,0.547723768,0.446107194
ID131392,131392,7106,19.11726761,294.3557514,58.25046282,0,140,140,1.25,1,,65.48648649,59,5,182,2423,44.71056401,0.41273646,0.855821552
ID116418,116418,7106,34.42840576,294.7985287,57.79253753,0,115,115,1.25,1,,86.27027027,83,5,198,3192,56.40067407,0.513859125,1.03840189
ID121161,121161,7106,21.71768379,294.5211628,58.15564653,0,126,126,1.25,1,,70.64864865,78,5,193,2614,42.46515972,0.404125157,0.957659583
ID150218,150218,7106,8.90443325,295.2181429,58.86516937,0,167,167,1.25,1,,54.59459459,47,5,198,2020,40.22123504,0.164314839,0.383116267
ID142155,142155,7106,21.78315163,294.9945445,58.01342113,0,159,159,1.25,1,,66.75675676,60,5,168,2470,48.11814477,0.459351673,0.873376883
ID150859,150859,7106,20.65048599,294.8616665,57.86548731,0,171,171,1.25,1,,65.37837838,62,5,167,2419,41.31743737,0.461897234,0.999906243
ID125259,125259,7106,26.75649834,294.2574298,58.16329113,0,130,130,1.25,1,,79.24324324,69,5,255,2932,56.55155239,0.467559282,0.892871037
